layer_idx,layer_name,time_s,mem_delta_mb,mem_after_mb
0,Linear,0.005276395000691991,-0.125,46.7701416015625
1,Square,0.00031618699722457677,0.3125,47.0826416015625
2,Linear,0.002589394003734924,-0.5625,46.5201416015625
